epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.128,1.50755,2.60849,1.56261,0.51643,0.56697,0.51516,0.26883,1.26428,2.24221,1.58258,0.00333242,0.00333242,0.00333242
2,1391.3,1.48851,2.02992,1.53994,0.59127,0.59245,0.5883,0.30289,1.29698,1.79838,1.65859,0.00655577,0.00655577,0.00655577
3,2059.92,1.56205,1.94189,1.59567,0.60942,0.54793,0.59012,0.30181,1.35016,1.73912,1.68399,0.00966912,0.00966912,0.00966912
4,2720.35,1.60602,1.91839,1.64072,0.65546,0.61574,0.63561,0.33326,1.35044,1.49217,1.67929,0.009505,0.009505,0.009505
5,3380.6,1.53723,1.74211,1.59971,0.65853,0.6535,0.65453,0.35718,1.23122,1.24518,1.57756,0.00934,0.00934,0.00934
6,4040.55,1.5,1.65715,1.57094,0.71277,0.6754,0.71351,0.39999,1.20151,1.17486,1.54433,0.009175,0.009175,0.009175
7,4701.26,1.46255,1.58205,1.54613,0.74986,0.70536,0.76214,0.42102,1.17753,1.13223,1.50802,0.00901,0.00901,0.00901
8,5361.55,1.41953,1.49788,1.50897,0.7321,0.70972,0.7634,0.43106,1.12444,1.07036,1.46358,0.008845,0.008845,0.008845
9,6024.19,1.40386,1.45468,1.50151,0.74297,0.71587,0.76371,0.43383,1.15147,1.04236,1.49633,0.00868,0.00868,0.00868
10,6685.01,1.38286,1.4029,1.49128,0.75912,0.7356,0.78834,0.44986,1.11276,0.95488,1.44136,0.008515,0.008515,0.008515
11,7345.65,1.37055,1.371,1.47255,0.78573,0.72722,0.79462,0.46687,1.07931,0.91454,1.42344,0.00835,0.00835,0.00835
12,8007.84,1.35168,1.32201,1.45283,0.77819,0.74484,0.81212,0.47798,1.05786,0.8999,1.38857,0.008185,0.008185,0.008185
13,8670.14,1.33569,1.28471,1.43783,0.78712,0.76192,0.81679,0.48221,1.04891,0.87854,1.37717,0.00802,0.00802,0.00802
14,9331.92,1.31576,1.25485,1.42208,0.78157,0.76483,0.81882,0.48438,1.03507,0.83315,1.35842,0.007855,0.007855,0.007855
15,9993.38,1.31336,1.24603,1.41811,0.80641,0.75674,0.82392,0.49453,1.02212,0.808,1.36089,0.00769,0.00769,0.00769
16,10655.5,1.28705,1.21553,1.40802,0.79447,0.77188,0.83189,0.49884,1.0203,0.80296,1.34778,0.007525,0.007525,0.007525
17,11319.1,1.28756,1.19701,1.40199,0.81241,0.77214,0.84126,0.50576,1.00178,0.77743,1.32924,0.00736,0.00736,0.00736
18,11980.2,1.26978,1.1663,1.38629,0.80927,0.78033,0.8376,0.50865,0.9906,0.7618,1.32331,0.007195,0.007195,0.007195
19,12645.4,1.26846,1.1561,1.38501,0.80533,0.7955,0.83466,0.50885,0.98356,0.73678,1.30455,0.00703,0.00703,0.00703
20,13308.9,1.2501,1.12932,1.37165,0.8371,0.78831,0.85395,0.52065,0.95591,0.72317,1.28938,0.006865,0.006865,0.006865
